Latency	Type
1258978	P_2115bell
1262526	R_2115bell
1262546	S_3117bell
1268545	T_3117bell
1275044	P_3117bell
1278837	R_3117bell
1278857	S_3007bell
1284844	T_3007bell
1291343	P_3007bell
1295148	R_3007bell
1295183	S_1121b21b
1301178	T_1121b21b
1307677	P_1121b21b
1311228	R_1121b21b
1311247	S_3003bell
1317244	T_3003bell
1323743	P_3003bell
1327076	R_3003bell
1327102	S_1125a25a
1333094	T_1125a25a
1339593	P_1125a25a
1343256	R_1125a25a
1343282	S_1119b19b
1349277	T_1119b19b
1355775	P_1119b19b
1360531	R_1119b19b
1360554	S_1208b08b
1366542	T_1208b08b
1373042	P_1208b08b
1378230	R_1208b08b
1378249	S_2103bell
1384242	T_2103bell
1390741	P_2103bell
1394387	R_2103bell
1394406	S_1113b13b
1400408	T_1113b13b
1406908	P_1113b13b
1410698	R_1113b13b
1410716	S_1110b10b
1416708	T_1110b10b
1423207	P_1110b10b
1426778	R_1110b10b
1426803	S_2116aell
1432792	T_2116aell
1439291	P_2116aell
1442842	R_2116aell
1442867	S_0125b25a
1448857	T_0125b25a
1455357	P_0125b25a
1459077	R_0125b25a
1459101	S_0125a25b
1465091	T_0125a25b
1471590	P_0125a25b
1474771	R_0125a25b
1474795	S_3125bell
1480791	T_3125bell
1487290	P_3125bell
1491506	R_3125bell
1491523	S_1103b03b
1497523	T_1103b03b
1504022	P_1103b03b
1507471	R_1103b03b
1507494	S_3122aell
1513490	T_3122aell
1519989	P_3122aell
1524206	R_3122aell
1524225	S_2118aell
1530222	T_2118aell
1536721	P_2118aell
1542060	R_2118aell
1542081	S_2114bell
1548072	T_2114bell
1554572	P_2114bell
1558448	R_2114bell
1558470	S_2120bell
1564472	T_2120bell
1570971	P_2120bell
1574142	R_2120bell
1574160	S_1124b24b
1580154	T_1124b24b
1586654	P_1124b24b
1590415	R_1124b24b
1590433	S_0117a17b
1596421	T_0117a17b
1602920	P_0117a17b
1607267	R_0117a17b
1607288	S_0221a21b
1613288	T_0221a21b
1619787	P_0221a21b
1623847	R_0221a21b
1623867	S_3113aell
1629870	T_3113aell
1636370	P_3113aell
1639928	R_3113aell
1639950	S_3109bell
1645936	T_3109bell
1652436	P_3109bell
1656394	R_3109bell
1656416	S_0121b21a
1662419	T_0121b21a
1668919	P_0121b21a
1672397	R_0121b21a
